wall_time,global_step_artificial,steps/supernet/train_loss,steps/supernet/params,steps/ssubnet/train_loss,steps/ssubnet/params,steps/subnet/train_loss,steps/subnet/params,steps/supernet/metric,steps/supernet/f1,steps/ssubnet/metric,steps/ssubnet/f1,steps/subnet/metric,steps/subnet/f1
1770618054.119419,0,2.7939675018018306e-09,85.6204833984375,6.837457533492852e-08,39.39645767211914,4.808428499813999e-08,47.35908126831055,0.8907251358032227,0.8907430171966553,0.8555688858032227,0.8558041453361511,0.8766025900840759,0.8765571117401123
1770618058.1728208,1,9.313225191043273e-10,85.6204833984375,1.91347311329082e-08,39.39645767211914,7.32490434529609e-07,56.648807525634766,0.8914262652397156,0.8915793895721436,0.8541666865348816,0.8546999096870422,0.8745993375778198,0.8746055960655212
1770618062.4103098,2,9.313225191043273e-10,85.6204833984375,2.5352516530574576e-08,39.39645767211914,1.3510589980114673e-08,68.12236785888672,0.8907251358032227,0.8908713459968567,0.8564703464508057,0.856885552406311,0.8757011294364929,0.8757364153862
1770618066.845234,3,3.725290076417309e-09,85.6204833984375,1.7885271574868966e-07,39.39645767211914,1.8198656448475958e-07,57.06352615356445,0.8901242017745972,0.8903031945228577,0.8556690812110901,0.8560941815376282,0.8724960088729858,0.8724833726882935
1770618071.0834603,4,4.656612428988183e-09,85.6204833984375,4.683292686991081e-08,39.39645767211914,1.4279068238920445e-07,56.648807525634766,0.8903245329856873,0.8904897570610046,0.8572716116905212,0.8576681017875671,0.8871194124221802,0.8872269988059998
1770618075.3265233,5,0.0,85.6204833984375,2.0685771232820116e-05,39.39645767211914,5.980303399155673e-07,56.648807525634766,0.8912259340286255,0.8916562795639038,0.856370210647583,0.8570382595062256,0.8846153616905212,0.8848253488540649
1770618079.538795,6,9.313225191043273e-10,85.6204833984375,6.072028924108963e-08,39.39645767211914,1.576378494405617e-08,62.61734390258789,0.8905248641967773,0.8908902406692505,0.8573718070983887,0.8579089641571045,0.8783053159713745,0.8787114024162292
1770618083.8859198,7,1.2107189917287542e-08,85.6204833984375,3.896099087796756e-07,39.39645767211914,2.1902572200360737e-08,55.146240234375,0.8927283883094788,0.8930341005325317,0.8594751358032227,0.8601610064506531,0.8744992017745972,0.874894917011261
1770618088.0929043,8,9.313225191043273e-10,85.6204833984375,4.090069083417802e-08,39.39645767211914,1.1436335398684605e-06,46.944358825683594,0.8919270634651184,0.8922029137611389,0.8599759340286255,0.860520601272583,0.8786057829856873,0.8789727091789246
1770618092.15191,9,1.8626450382086546e-09,85.6204833984375,2.1871500166525948e-07,39.39645767211914,2.112733454850968e-08,71.85791778564453,0.8916265964508057,0.8919566869735718,0.8583734035491943,0.8590114712715149,0.8760015964508057,0.8764666318893433
